Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2016-08-26, Hawaii, 248, 38, 234, 34, 17, 6, 52, 4, 1, 26, 14, 8, 1, 1, 1747, 31, Cal, 189, 35, 441, 54, 38, 6, 80, 0, 0, 31, 17, 8, 2, 2, 1853, 51
2016-09-01, Appalachian St, 184, 43, 108, 23, 15, 5, 36, 0, 1, 17, 13, 3, 2, 1, 2009, 13, Tennessee, 127, 43, 192, 29, 16, 6, 55, 1, 1, 19, 16, 7, 0, 0, 1591, 20
2016-09-01, Indiana, 246, 52, 240, 28, 18, 9, 74, 1, 0, 26, 15, 6, 2, 1, 2000, 34, FIU, 63, 21, 268, 47, 24, 6, 36, 0, 3, 16, 14, 4, 2, 1, 1600, 13
2016-09-01, Jackson State, 108, 35, 144, 43, 17, 2, 10, 1, 2, 17, 16, 5, 2, 1, 1909, 13, UNLV, 280, 44, 223, 13, 11, 6, 61, 1, 0, 21, 8, 4, 1, 0, 1691, 63
2016-09-01, Maine, 40, 19, 269, 33, 19, 4, 46, 0, 0, 16, 11, 4, 0, 0, 1424, 21, UConn, 200, 50, 162, 23, 16, 3, 30, 1, 0, 23, 15, 8, 1, 1, 2176, 24
2016-09-01, Montana State, 110, 38, 195, 36, 20, 4, 30, 0, 1, 19, 17, 5, 3, 2, 2174, 17, Idaho, 229, 36, 128, 22, 8, 5, 40, 1, 1, 15, 11, 2, 2, 0, 1426, 20
2016-09-01, Oregon State, 89, 34, 228, 40, 25, 4, 55, 2, 0, 18, 19, 10, 2, 0, 1827, 23, Minnesota, 150, 47, 130, 27, 13, 8, 70, 1, 0, 21, 17, 8, 1, 1, 1773, 30
2016-09-01, Rice, 105, 33, 186, 38, 23, 10, 62, 0, 2, 20, 14, 7, 1, 0, 1665, 14, W Kentucky, 97, 30, 552, 35, 26, 8, 74, 0, 0, 23, 10, 3, 1, 0, 1935, 46
2016-09-01, South Carolina, 121, 32, 187, 30, 16, 7, 51, 2, 0, 14, 16, 6, 0, 0, 1605, 13, Vanderbilt, 169, 42, 73, 23, 8, 5, 33, 0, 0, 14, 15, 4, 1, 0, 1995, 10
2016-09-01, South Dakota, 183, 43, 140, 21, 14, 2, 15, 2, 1, 16, 14, 7, 2, 1, 1503, 21, New Mexico, 428, 49, 187, 19, 13, 4, 30, 1, 0, 24, 14, 8, 0, 0, 2097, 48
2016-09-01, Southern Utah, 116, 32, 42, 18, 6, 3, 20, 1, 1, 7, 12, 2, 0, 0, 1270, 0, Utah, 138, 37, 298, 39, 23, 6, 40, 1, 0, 19, 17, 8, 1, 1, 2330, 24
2016-09-01, UT Martin, 177, 49, 146, 26, 12, 8, 67, 1, 2, 20, 16, 9, 1, 0, 2226, 7, Cincinnati, 140, 34, 260, 34, 21, 5, 60, 2, 1, 22, 13, 5, 2, 2, 1374, 28
2016-09-01, Tulane, 146, 47, 134, 23, 12, 4, 30, 1, 0, 14, 20, 8, 4, 1, 2096, 3, Wake Forest, 79, 34, 96, 21, 12, 5, 45, 0, 0, 10, 15, 7, 0, 0, 1504, 7
2016-09-01, Weber State, 108, 41, 137, 27, 15, 2, 15, 0, 1, 16, 19, 8, 0, 0, 2090, 6, Utah State, 428, 44, 100, 17, 11, 4, 30, 0, 0, 23, 12, 9, 0, 0, 1510, 45
2016-09-01, William & Mary, 62, 28, 106, 19, 10, 8, 70, 0, 2, 10, 8, 1, 0, 0, 1487, 14, North Carolina St, 259, 57, 262, 30, 23, 7, 80, 0, 1, 28, 16, 10, 2, 1, 2113, 48
2016-09-01, Presbyterian, 44, 33, 82, 22, 10, 6, 60, 1, 2, 6, 14, 1, 0, 0, 1675, 3, Cent Michigan, 255, 38, 237, 27, 16, 7, 56, 0, 2, 23, 9, 3, 0, 0, 1925, 49
2016-09-01, Charlotte, 48, 31, 160, 32, 18, 13, 118, 1, 0, 12, 13, 0, 2, 1, 1806, 14, Louisville, 272, 35, 391, 35, 26, 10, 49, 2, 1, 37, 7, 4, 0, 0, 1794, 70
2016-09-02, Albany (N.Y.), 125, 33, 113, 21, 14, 9, 79, 0, 0, 12, 11, 1, 0, 0, 1628, 22, Buffalo, 226, 48, 177, 34, 17, 9, 83, 1, 3, 23, 17, 5, 2, 1, 1972, 16
2016-09-02, Ball State, 325, 52, 130, 29, 15, 5, 39, 0, 2, 22, 18, 7, 3, 2, 2156, 31, Georgia State, 77, 25, 195, 40, 25, 6, 52, 1, 1, 19, 15, 7, 1, 0, 1444, 21
2016-09-02, Cal Poly, 383, 71, 62, 12, 5, 9, 75, 1, 0, 23, 20, 10, 4, 3, 2169, 27, Nevada, 174, 34, 189, 24, 17, 4, 40, 0, 0, 18, 14, 7, 1, 1, 1431, 30
2016-09-02, Colgate, 45, 32, 98, 24, 11, 3, 35, 0, 0, 11, 16, 5, 0, 0, 1774, 7, Syracuse, 117, 35, 437, 46, 40, 5, 40, 1, 0, 25, 18, 8, 3, 3, 1826, 33
2016-09-02, Colorado State, 162, 35, 63, 29, 12, 1, 15, 2, 2, 12, 16, 5, 3, 1, 1524, 7, Colorado, 260, 56, 318, 33, 23, 4, 35, 2, 0, 28, 19, 12, 1, 1, 2076, 44
2016-09-02, Furman, 87, 33, 139, 31, 16, 4, 34, 0, 1, 18, 14, 3, 3, 2, 1771, 13, Michigan State, 171, 40, 190, 18, 13, 10, 120, 1, 1, 19, 10, 4, 0, 0, 1829, 28
2016-09-02, Kansas State, 92, 32, 243, 41, 19, 8, 44, 0, 2, 18, 18, 8, 4, 2, 1858, 13, Stanford, 105, 30, 167, 19, 15, 4, 26, 1, 0, 13, 12, 6, 0, 0, 1742, 26
2016-09-02, Mississippi Valley State, 23, 32, 146, 38, 19, 11, 66, 2, 0, 17, 13, 4, 1, 0, 1896, 14, E Michigan, 281, 44, 198, 24, 17, 6, 68, 0, 1, 24, 11, 5, 1, 1, 1704, 61
2016-09-02, Northwestern St, 47, 40, 31, 19, 5, 7, 37, 0, 0, 9, 15, 1, 1, 1, 1905, 7, Baylor, 275, 43, 223, 29, 19, 12, 93, 1, 0, 23, 15, 7, 1, 1, 1695, 55
2016-09-02, Toledo, 185, 45, 371, 31, 23, 6, 58, 2, 0, 24, 17, 12, 0, 0, 2075, 31, Arkansas State, 142, 38, 124, 25, 11, 6, 48, 0, 0, 13, 16, 3, 4, 2, 1525, 10
2016-09-02, Army, 329, 67, 15, 5, 2, 5, 34, 0, 0, 25, 14, 7, 2, 2, 2148, 28, Temple, 83, 28, 168, 26, 12, 5, 35, 0, 3, 16, 9, 3, 2, 1, 1452, 13
2016-09-03, Abil Christian, 86, 31, 274, 33, 16, 8, 59, 0, 0, 16, 17, 7, 0, 0, 1532, 21, Air Force, 401, 69, 201, 11, 6, 7, 57, 2, 0, 29, 13, 5, 1, 1, 2068, 37
2016-09-03, Alabama A&M, 92, 27, 54, 24, 9, 6, 30, 0, 1, 6, 15, 1, 0, 0, 1269, 0, Mid Tennessee, 246, 40, 435, 53, 40, 9, 87, 0, 2, 35, 16, 8, 1, 1, 2331, 55
2016-09-03, Alabama St., 145, 37, 142, 23, 13, 13, 79, 1, 0, 14, 14, 2, 2, 2, 1829, 13, UTSA, 162, 34, 287, 33, 22, 8, 80, 3, 1, 20, 13, 6, 1, 1, 1771, 26
2016-09-03, Austin Peay, 93, 41, 161, 22, 14, 3, 23, 0, 1, 13, 15, 4, 2, 1, 1954, 17, Troy, 383, 43, 323, 36, 29, 14, 153, 1, 0, 29, 11, 7, 1, 0, 1646, 57
2016-09-03, Boise State, 158, 38, 426, 35, 24, 7, 60, 0, 0, 28, 13, 7, 1, 1, 1754, 45, LA-Lafayette, 81, 40, 186, 33, 21, 10, 71, 0, 0, 18, 18, 7, 2, 0, 1846, 10
2016-09-03, Bowling Green, 69, 28, 175, 44, 21, 5, 45, 0, 3, 16, 16, 3, 3, 2, 1285, 10, OSU, 359, 55, 417, 39, 27, 9, 66, 0, 1, 41, 13, 11, 1, 0, 2315, 77
2016-09-03, BYU, 213, 47, 202, 29, 21, 8, 65, 0, 0, 24, 15, 7, 1, 1, 2257, 18, Arizona, 115, 26, 213, 30, 20, 4, 20, 0, 2, 17, 13, 5, 0, 0, 1343, 16
2016-09-03, Fresno State, 31, 26, 243, 43, 24, 6, 29, 0, 2, 17, 15, 5, 2, 1, 1687, 10, Nebraska, 292, 51, 114, 13, 6, 7, 80, 0, 0, 20, 11, 5, 1, 1, 1913, 43
2016-09-03, UC Davis, 89, 33, 303, 47, 27, 7, 45, 0, 1, 20, 17, 7, 1, 0, 2237, 28, Oregon, 251, 37, 271, 30, 21, 8, 71, 2, 0, 21, 13, 7, 1, 0, 1363, 53
2016-09-03, UCLA, 125, 40, 343, 47, 26, 4, 17, 0, 3, 28, 18, 5, 2, 1, 1998, 24, Texas A&M, 203, 41, 239, 42, 22, 6, 67, 1, 1, 23, 15, 4, 2, 1, 1602, 31
2016-09-03, Clemson, 151, 44, 248, 34, 19, 6, 55, 1, 1, 19, 17, 6, 3, 1, 1829, 19, Auburn, 87, 41, 175, 30, 15, 9, 60, 1, 2, 17, 17, 3, 5, 3, 1771, 13
2016-09-03, E Kentucky, 176, 47, 222, 37, 20, 4, 39, 1, 3, 22, 20, 10, 1, 1, 1665, 24, Purdue, 261, 39, 251, 44, 26, 1, 12, 0, 1, 25, 17, 8, 2, 1, 1935, 45
