Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-24, Cincinnati, 132, 36, 620, 64, 38, 11, 101, 0, 3, 38, 18, 7, 0, 0, 2023, 46, Memphis, 158, 37, 412, 36, 24, 9, 100, 2, 0, 22, 11, 3, 2, 1, 1577, 53
2015-09-26, Akron, 220, 42, 238, 29, 13, 11, 92, 0, 1, 22, 18, 9, 1, 0, 2010, 35, LA-Lafayette, 112, 28, 173, 37, 19, 11, 126, 2, 2, 18, 12, 5, 2, 1, 1590, 14
2015-09-26, Appalachian St, 303, 56, 198, 17, 12, 7, 68, 1, 0, 24, 14, 8, 2, 1, 2133, 49, Old Dominion, 42, 21, 133, 28, 16, 7, 59, 2, 2, 8, 13, 4, 1, 0, 1467, 0
2015-09-26, Arkansas State, -14, 24, 223, 35, 18, 8, 90, 2, 3, 11, 13, 2, 3, 1, 1283, 7, Toledo, 169, 46, 308, 52, 25, 8, 80, 0, 1, 29, 20, 10, 1, 0, 2317, 37
2015-09-26, Boise State, 89, 31, 358, 38, 25, 4, 25, 0, 0, 19, 14, 3, 2, 1, 1685, 56, UVA, 40, 33, 233, 33, 16, 9, 80, 1, 4, 10, 17, 7, 1, 0, 1915, 14
2015-09-26, Bowling Green, 137, 33, 402, 59, 43, 10, 98, 1, 1, 39, 16, 11, 3, 1, 1651, 35, Purdue, 77, 38, 349, 40, 30, 9, 92, 0, 1, 25, 17, 9, 3, 3, 1949, 28
2015-09-26, BYU, 50, 22, 55, 28, 12, 5, 45, 0, 0, 8, 15, 4, 0, 0, 1282, 0, Michigan, 254, 51, 194, 25, 14, 5, 53, 0, 0, 22, 17, 9, 2, 0, 2318, 31
2015-09-26, Cal, 139, 51, 342, 41, 24, 6, 35, 1, 1, 28, 20, 10, 3, 1, 2389, 30, Washington, 107, 27, 152, 28, 17, 5, 53, 3, 2, 15, 9, 2, 1, 0, 1211, 24
2015-09-26, UCF, 26, 23, 204, 38, 23, 5, 31, 0, 2, 15, 12, 3, 3, 1, 1566, 14, South Carolina, 216, 43, 184, 25, 12, 2, 20, 1, 0, 20, 16, 7, 1, 1, 2034, 31
2015-09-26, Cent Michigan, 55, 26, 285, 39, 26, 9, 70, 1, 0, 17, 15, 7, 3, 1, 1905, 10, Michigan State, 181, 36, 143, 19, 11, 8, 78, 0, 0, 18, 8, 4, 0, 0, 1695, 30
