Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-15, Auburn, 152, 47, 255, 28, 17, 5, 49, 0, 0, 21, 18, 11, 0, 0, 1767, 30, Kentucky, 138, 33, 359, 44, 27, 5, 37, 0, 1, 25, 13, 5, 2, 1, 1833, 27
2015-10-15, W Kentucky, 283, 40, 400, 43, 31, 7, 55, 0, 1, 35, 14, 9, 1, 0, 2034, 55, North Texas, 203, 35, 228, 35, 17, 5, 37, 1, 1, 22, 13, 5, 1, 1, 1566, 28
2015-10-16, UCLA, 181, 31, 325, 42, 22, 10, 93, 0, 2, 19, 16, 3, 3, 2, 1559, 35, Stanford, 310, 48, 131, 16, 8, 5, 40, 0, 1, 19, 12, 5, 0, 0, 2041, 56
2015-10-17, Akron, 158, 41, 104, 30, 15, 8, 70, 2, 2, 16, 18, 6, 3, 1, 1922, 10, Bowling Green, 120, 42, 412, 33, 27, 7, 54, 0, 0, 27, 13, 6, 2, 2, 1678, 59
2015-10-17, Alabama, 258, 45, 138, 25, 19, 7, 60, 1, 0, 17, 16, 4, 1, 1, 2182, 41, Texas A&M, 32, 25, 284, 45, 22, 1, 5, 0, 4, 16, 18, 7, 1, 0, 1418, 23
2015-10-17, Appalachian St, 379, 50, 275, 16, 9, 6, 68, 1, 0, 23, 11, 4, 4, 3, 1776, 59, UL Monroe, 159, 39, 191, 35, 18, 3, 15, 0, 2, 21, 16, 6, 4, 1, 1824, 14
2015-10-17, Boise State, 34, 30, 299, 50, 25, 3, 30, 5, 3, 20, 16, 5, 2, 2, 1496, 26, Utah State, 177, 43, 157, 24, 17, 11, 104, 1, 0, 15, 16, 5, 3, 2, 2104, 52
2015-10-17, Boston College, 159, 38, 87, 23, 7, 8, 80, 0, 0, 11, 15, 3, 2, 2, 1674, 17, Clemson, 112, 36, 420, 42, 27, 6, 45, 0, 2, 24, 15, 5, 1, 1, 1926, 34
2015-10-17, Bucknell, 104, 21, 186, 33, 17, 14, 105, 0, 1, 13, 12, 2, 1, 1, 1477, 14, Army, 263, 61, 114, 10, 5, 4, 35, 1, 2, 18, 17, 8, 3, 3, 2123, 21
2015-10-17, Buffalo, 92, 29, 149, 28, 14, 5, 63, 2, 2, 13, 13, 3, 4, 2, 1490, 14, Cent Michigan, 150, 45, 313, 30, 23, 9, 87, 0, 1, 25, 12, 6, 1, 1, 2110, 51
2015-10-17, UCF, 67, 29, 67, 31, 10, 9, 64, 0, 2, 10, 16, 3, 0, 0, 1621, 16, Temple, 212, 41, 149, 27, 15, 8, 84, 3, 1, 20, 14, 7, 0, 0, 1979, 30
2015-10-17, Cincinnati, 121, 46, 220, 31, 16, 9, 65, 0, 0, 21, 17, 7, 1, 1, 2022, 24, BYU, 197, 29, 252, 32, 19, 10, 74, 0, 1, 22, 11, 2, 1, 1, 1578, 38
2015-10-17, E Michigan, 282, 48, 176, 37, 23, 6, 45, 1, 1, 23, 20, 9, 1, 1, 2189, 20, Toledo, 238, 29, 373, 33, 22, 5, 43, 1, 0, 23, 12, 7, 2, 2, 1411, 63
2015-10-17, FIU, 86, 30, 260, 51, 29, 3, 20, 0, 1, 25, 18, 9, 3, 1, 1821, 34, Mid Tennessee, 200, 43, 261, 26, 17, 8, 87, 1, 1, 22, 11, 7, 0, 0, 1779, 42
2015-10-17, Florida, 55, 31, 271, 32, 17, 6, 45, 0, 0, 15, 16, 6, 4, 2, 1783, 28, LSU, 221, 41, 202, 19, 13, 3, 20, 1, 0, 18, 14, 7, 1, 1, 1817, 35
2015-10-17, Georgia State, 33, 32, 412, 39, 28, 7, 65, 1, 0, 21, 14, 5, 0, 0, 1856, 31, Ball State, 154, 40, 218, 48, 28, 6, 65, 0, 1, 24, 22, 11, 1, 0, 1744, 19
2015-10-17, Hawaii, 220, 50, 195, 25, 13, 11, 94, 0, 2, 23, 18, 10, 0, 0, 1781, 27, New Mexico, 197, 53, 195, 26, 15, 9, 64, 2, 0, 28, 16, 9, 2, 1, 1819, 28
2015-10-17, Houston, 239, 47, 222, 25, 17, 10, 99, 0, 1, 24, 15, 7, 1, 1, 1908, 42, Tulane, 112, 32, 150, 33, 14, 12, 133, 0, 0, 11, 18, 4, 2, 1, 1692, 7
2015-10-17, Idaho, 123, 37, 207, 37, 20, 6, 59, 0, 0, 20, 18, 7, 0, 0, 1989, 19, Troy, 143, 37, 238, 38, 20, 7, 47, 2, 2, 22, 17, 4, 2, 2, 1611, 16
2015-10-17, Iowa, 294, 51, 198, 27, 16, 5, 47, 0, 1, 24, 18, 9, 1, 1, 2242, 40, Northwestern, 51, 26, 147, 43, 20, 5, 55, 2, 1, 13, 19, 8, 0, 0, 1358, 10
2015-10-17, Kent State, 192, 50, 135, 25, 20, 9, 103, 0, 1, 18, 19, 7, 1, 0, 2183, 15, UMass, 86, 27, 171, 33, 17, 9, 76, 0, 1, 17, 14, 4, 1, 0, 1417, 10
2015-10-17, LA Tech, 110, 32, 303, 41, 25, 7, 60, 0, 1, 24, 15, 4, 1, 1, 2016, 20, Miss St, 93, 30, 347, 43, 30, 4, 38, 0, 0, 28, 13, 6, 1, 1, 1584, 45
2015-10-17, Louisville, 99, 30, 307, 35, 20, 9, 84, 1, 1, 20, 15, 9, 1, 0, 1543, 21, FSU, 133, 32, 377, 39, 27, 10, 75, 0, 0, 24, 15, 8, 0, 0, 2057, 41
2015-10-17, Marshall, 326, 47, 174, 28, 17, 3, 15, 0, 1, 26, 15, 9, 0, 0, 2118, 33, FAU, 131, 34, 203, 31, 14, 5, 30, 0, 1, 17, 14, 6, 1, 0, 1482, 17
2015-10-17, Michigan State, 58, 33, 328, 39, 18, 5, 44, 0, 0, 20, 13, 3, 4, 0, 1811, 27, Michigan, 62, 33, 168, 25, 15, 8, 70, 1, 0, 10, 15, 4, 1, 0, 1789, 23
2015-10-17, Ole Miss, 40, 24, 440, 48, 34, 8, 90, 0, 2, 25, 13, 4, 2, 0, 1352, 24, Memphis, 107, 41, 384, 53, 39, 10, 80, 0, 1, 31, 20, 12, 0, 0, 2248, 37
2015-10-17, Missouri, 21, 22, 143, 26, 11, 4, 27, 1, 0, 6, 13, 2, 1, 0, 1265, 6, Georgia, 120, 45, 178, 32, 23, 3, 30, 0, 1, 19, 19, 9, 1, 0, 2335, 9
2015-10-17, Nebraska, 203, 39, 261, 26, 18, 2, 25, 0, 0, 23, 13, 7, 0, 0, 1903, 48, Minnesota, 65, 26, 301, 40, 26, 6, 55, 1, 2, 18, 15, 6, 2, 1, 1697, 25
2015-10-17, UNLV, 188, 48, 111, 24, 12, 2, 16, 0, 0, 20, 16, 8, 1, 0, 1928, 28, Fresno State, 217, 38, 193, 31, 19, 4, 47, 1, 0, 23, 17, 9, 1, 1, 1672, 31
2015-10-17, Nevada, 118, 30, 287, 41, 25, 5, 41, 0, 0, 27, 12, 6, 2, 0, 1515, 21, Wyoming, 272, 51, 213, 20, 18, 7, 71, 0, 0, 25, 13, 7, 1, 1, 2085, 28
2015-10-17, New Mexico St, 133, 29, 253, 37, 20, 4, 40, 0, 1, 19, 14, 5, 2, 0, 1536, 26, Ga Southern, 507, 59, 85, 8, 4, 7, 86, 1, 0, 24, 11, 5, 1, 1, 2064, 56
2015-10-17, N Illinois, 311, 37, 203, 26, 17, 2, 32, 2, 0, 21, 12, 5, 2, 1, 1215, 45, Miami (OH), 153, 41, 156, 33, 16, 9, 75, 1, 1, 17, 17, 4, 1, 1, 2385, 12
2015-10-17, Oklahoma, 232, 52, 336, 32, 25, 3, 24, 0, 0, 30, 15, 9, 2, 1, 2062, 55, Kansas State, 65, 31, 45, 22, 5, 1, 5, 0, 3, 7, 14, 3, 0, 0, 1538, 0
2015-10-17, Oregon State, 218, 45, 176, 30, 17, 11, 86, 0, 2, 21, 13, 4, 4, 1, 1757, 31, Washington St, 111, 22, 409, 52, 40, 6, 60, 1, 2, 32, 12, 8, 0, 0, 1843, 52
2015-10-17, Pitt, 200, 43, 191, 23, 15, 4, 30, 0, 0, 21, 11, 4, 2, 2, 2060, 31, Georgia Tech, 376, 40, 106, 15, 6, 5, 54, 1, 1, 19, 11, 5, 1, 1, 1540, 28
2015-10-17, Purdue, 55, 29, 136, 26, 15, 7, 67, 1, 0, 12, 13, 4, 3, 1, 1334, 7, Wisconsin, 96, 37, 322, 39, 30, 7, 65, 0, 1, 26, 14, 7, 1, 1, 2266, 24
2015-10-17, Rutgers, 210, 40, 386, 43, 28, 1, 10, 0, 1, 25, 20, 12, 2, 1, 2102, 55, Indiana, 163, 34, 464, 42, 32, 4, 19, 1, 2, 28, 10, 2, 4, 1, 1498, 52
2015-10-17, USF, 275, 44, 186, 16, 12, 3, 30, 0, 2, 17, 12, 4, 1, 0, 1509, 28, UConn, 163, 38, 365, 42, 28, 4, 39, 0, 1, 26, 17, 7, 3, 1, 2091, 20
2015-10-17, USC, 150, 30, 440, 47, 31, 10, 105, 0, 2, 19, 16, 6, 3, 2, 1868, 31, Notre Dame, 214, 35, 262, 25, 16, 4, 40, 1, 0, 21, 12, 5, 0, 0, 1732, 41
2015-10-17, Syracuse, 184, 43, 150, 22, 16, 4, 32, 2, 0, 21, 14, 6, 2, 1, 1669, 38, UVA, 159, 44, 234, 37, 24, 7, 78, 1, 1, 25, 17, 9, 1, 1, 1931, 44
2015-10-17, TCU, 177, 41, 444, 34, 28, 7, 75, 1, 0, 30, 13, 9, 0, 0, 1722, 45, Iowa State, 115, 38, 346, 38, 24, 8, 55, 2, 0, 24, 12, 3, 6, 4, 1878, 21
2015-10-17, Texas Tech, 217, 43, 359, 51, 30, 6, 70, 1, 1, 28, 21, 9, 2, 1, 1777, 30, Kansas, 145, 40, 330, 50, 35, 5, 41, 2, 1, 26, 18, 6, 3, 1, 1823, 20
2015-10-17, UTSA, 139, 41, 66, 22, 6, 7, 78, 2, 0, 12, 18, 8, 0, 0, 1499, 10, Southern Miss, 213, 44, 343, 31, 23, 8, 85, 1, 3, 23, 13, 5, 0, 0, 2101, 32
2015-10-17, Tulsa, 175, 45, 288, 41, 19, 7, 53, 1, 1, 22, 19, 5, 5, 2, 1680, 17, ECU, 143, 43, 239, 29, 20, 9, 78, 0, 1, 18, 15, 4, 0, 0, 1920, 30
2015-10-17, Air Force, 269, 56, 137, 16, 10, 5, 45, 1, 1, 21, 17, 9, 5, 2, 1895, 23, Colorado State, 160, 37, 296, 30, 23, 9, 87, 0, 1, 22, 15, 10, 1, 0, 1705, 38
2015-10-17, Vanderbilt, 155, 35, 177, 42, 21, 6, 53, 2, 3, 20, 15, 6, 1, 0, 1970, 10, South Carolina, 152, 37, 272, 29, 17, 6, 39, 1, 1, 17, 13, 2, 0, 0, 1630, 19
2015-10-17, VT, 160, 35, 201, 27, 17, 8, 69, 1, 3, 20, 10, 3, 2, 1, 1988, 20, Miami (FL), 99, 39, 296, 30, 19, 9, 81, 0, 0, 20, 16, 7, 2, 1, 1612, 30
2015-10-17, Wake Forest, 113, 43, 197, 30, 20, 3, 24, 1, 0, 16, 18, 8, 2, 0, 2224, 14, UNC, 212, 33, 326, 26, 18, 6, 44, 0, 2, 22, 10, 5, 2, 1, 1376, 50
2015-10-17, West Virginia, 182, 44, 289, 39, 18, 8, 80, 0, 1, 22, 18, 6, 4, 1, 1972, 38, Baylor, 304, 50, 389, 34, 21, 6, 80, 0, 0, 34, 13, 4, 5, 4, 1628, 62
2015-10-17, W Michigan, 430, 44, 137, 20, 14, 6, 45, 0, 0, 23, 11, 7, 0, 0, 1965, 49, Ohio, 100, 30, 254, 40, 22, 3, 28, 0, 0, 20, 13, 3, 3, 0, 1635, 14
2015-10-17, Charlotte, 309, 70, 227, 36, 24, 5, 50, 2, 1, 31, 22, 12, 2, 1, 2133, 34, Old Dominion, 115, 31, 367, 46, 26, 6, 50, 1, 1, 24, 18, 7, 1, 0, 1467, 37
2015-10-18, Arizona State, 15, 28, 242, 42, 20, 6, 46, 1, 1, 12, 18, 5, 2, 1, 1605, 18, Utah, 72, 31, 297, 36, 26, 4, 19, 0, 0, 16, 19, 9, 0, 0, 1995, 34
2015-10-18, Arizona, 291, 44, 325, 40, 25, 3, 25, 2, 0, 26, 17, 8, 0, 0, 1618, 38, Colorado, 128, 43, 339, 44, 28, 9, 65, 1, 0, 22, 18, 6, 2, 2, 1982, 31
2015-10-18, Oregon, 170, 51, 272, 25, 14, 9, 82, 0, 0, 21, 18, 9, 1, 1, 1851, 26, Washington, 180, 30, 205, 32, 20, 8, 64, 0, 1, 17, 13, 5, 0, 0, 1749, 20
2015-10-18, Penn State, 195, 40, 120, 13, 7, 3, 22, 1, 0, 14, 12, 1, 2, 0, 1660, 10, OSU, 315, 50, 114, 19, 13, 5, 70, 0, 0, 25, 11, 5, 0, 0, 1940, 38
2015-10-18, San Diego State, 233, 48, 144, 14, 10, 9, 76, 0, 0, 23, 11, 3, 1, 1, 2067, 30, San Jose State, 35, 35, 113, 24, 14, 4, 29, 0, 2, 14, 14, 5, 2, 1, 1533, 7
