Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-21, LA-Lafayette, 232, 34, 253, 44, 17, 3, 32, 0, 2, 22, 17, 6, 4, 2, 1751, 27, Arkansas State, 306, 52, 129, 20, 9, 3, 20, 0, 1, 22, 13, 5, 0, 0, 1849, 37
2015-10-22, Ga Southern, 188, 38, 64, 13, 5, 4, 26, 0, 2, 13, 12, 4, 1, 1, 1599, 13, Appalachian St, 231, 48, 202, 20, 14, 5, 40, 0, 0, 22, 12, 6, 1, 1, 2001, 31
2015-10-22, Temple, 72, 25, 250, 36, 19, 12, 114, 0, 0, 17, 13, 4, 1, 1, 1656, 24, ECU, 95, 35, 283, 53, 33, 9, 99, 1, 1, 24, 20, 10, 2, 2, 1944, 14
2015-10-23, Cal, 131, 35, 295, 53, 32, 5, 37, 0, 0, 25, 19, 8, 5, 3, 1748, 24, UCLA, 174, 42, 399, 48, 34, 9, 74, 1, 0, 31, 16, 9, 1, 1, 1852, 40
2015-10-24, Auburn, 162, 52, 254, 34, 19, 2, 25, 0, 0, 22, 17, 8, 3, 2, 1629, 46, Arkansas, 213, 49, 244, 32, 20, 3, 25, 0, 1, 29, 16, 9, 2, 2, 1971, 54
2015-10-24, Boston College, -14, 30, 93, 22, 9, 4, 25, 1, 0, 4, 14, 1, 1, 0, 1443, 14, Louisville, 135, 48, 230, 26, 15, 8, 49, 2, 2, 18, 17, 6, 0, 0, 2157, 17
2015-10-24, Bowling Green, 153, 46, 449, 45, 29, 8, 85, 0, 0, 31, 23, 13, 2, 2, 2131, 48, Kent State, 55, 26, 111, 25, 12, 8, 69, 0, 2, 10, 11, 1, 0, 0, 1469, 0
2015-10-24, Fresno State, 134, 17, 177, 39, 14, 5, 39, 0, 1, 12, 12, 2, 2, 0, 1042, 14, Air Force, 458, 79, 128, 11, 6, 5, 38, 1, 0, 26, 18, 8, 5, 3, 2558, 42
2015-10-24, Cent Michigan, 118, 31, 316, 39, 30, 10, 55, 1, 1, 20, 14, 6, 0, 0, 2202, 23, Ball State, 112, 29, 187, 40, 25, 5, 50, 1, 0, 17, 12, 2, 3, 1, 1398, 21
2015-10-24, Clemson, 416, 63, 151, 25, 17, 4, 29, 1, 0, 33, 14, 8, 1, 1, 2032, 58, Miami (FL), 53, 29, 93, 32, 13, 7, 88, 0, 3, 6, 18, 4, 1, 0, 1568, 0
2015-10-24, UConn, 136, 30, 130, 41, 17, 3, 25, 1, 1, 19, 12, 2, 2, 0, 1642, 13, Cincinnati, 285, 49, 327, 35, 26, 10, 105, 1, 0, 28, 14, 4, 4, 3, 1958, 37
2015-10-24, Duke, 179, 32, 270, 40, 19, 7, 22, 0, 0, 20, 18, 8, 0, 0, 1389, 45, VT, 182, 53, 270, 47, 24, 5, 35, 0, 0, 28, 22, 11, 1, 1, 2211, 43
2015-10-24, E Michigan, 157, 44, 219, 43, 26, 7, 75, 0, 1, 26, 18, 8, 1, 0, 1687, 21, N Illinois, 323, 59, 267, 38, 24, 8, 70, 0, 0, 34, 23, 15, 1, 1, 1913, 49
2015-10-24, FAU, 146, 30, 219, 23, 14, 5, 60, 2, 1, 15, 10, 4, 1, 0, 1385, 17, UTEP, 139, 38, 271, 39, 20, 6, 57, 1, 0, 20, 20, 9, 2, 1, 2215, 27
2015-10-24, FSU, 70, 24, 210, 31, 20, 6, 45, 0, 1, 17, 10, 2, 0, 0, 1509, 16, Georgia Tech, 261, 49, 67, 10, 4, 5, 41, 0, 2, 15, 14, 5, 1, 1, 2091, 22
2015-10-24, Hawaii, 34, 24, 291, 40, 27, 10, 79, 1, 3, 19, 9, 2, 0, 0, 1414, 20, Nevada, 244, 56, 128, 23, 12, 4, 35, 0, 1, 20, 15, 6, 1, 0, 2186, 30
2015-10-24, Houston, 366, 48, 234, 28, 20, 7, 87, 0, 0, 30, 13, 7, 0, 0, 2022, 59, UCF, 97, 30, 183, 29, 14, 6, 60, 1, 3, 14, 14, 4, 0, 0, 1578, 10
2015-10-24, Indiana, 81, 23, 308, 37, 23, 6, 45, 1, 1, 20, 11, 5, 1, 0, 1261, 26, Michigan State, 142, 44, 398, 52, 30, 5, 56, 1, 0, 33, 20, 13, 1, 0, 2339, 52
2015-10-24, Iowa State, 232, 55, 156, 29, 15, 4, 30, 2, 2, 23, 16, 5, 3, 2, 2075, 27, Baylor, 276, 49, 209, 38, 17, 9, 48, 1, 1, 27, 15, 7, 2, 2, 1525, 45
2015-10-24, Kansas State, 135, 37, 107, 24, 11, 5, 27, 0, 1, 15, 14, 4, 2, 1, 1760, 9, Texas, 274, 53, 99, 16, 10, 3, 35, 0, 0, 20, 15, 7, 1, 0, 1840, 23
2015-10-24, Kansas, 30, 27, 191, 31, 12, 10, 102, 0, 2, 9, 16, 5, 0, 0, 1357, 10, Oklahoma State, 202, 47, 381, 36, 27, 2, 25, 0, 0, 33, 13, 6, 1, 1, 2243, 58
2015-10-24, Kentucky, 163, 33, 260, 52, 30, 3, 30, 0, 3, 30, 16, 8, 0, 0, 1971, 16, Miss St, 204, 36, 382, 36, 26, 6, 62, 0, 1, 30, 11, 5, 2, 1, 1629, 42
2015-10-24, Memphis, 257, 52, 447, 44, 32, 12, 120, 1, 0, 35, 18, 9, 1, 1, 2124, 66, Tulsa, 113, 45, 421, 36, 24, 11, 76, 2, 1, 27, 15, 5, 1, 0, 1476, 42
2015-10-24, Miami (OH), 58, 27, 218, 27, 14, 8, 64, 2, 0, 12, 14, 4, 2, 0, 1389, 13, W Michigan, 143, 47, 278, 32, 25, 5, 38, 0, 0, 25, 13, 7, 2, 1, 2211, 35
2015-10-24, Mid Tennessee, 33, 24, 381, 56, 36, 7, 59, 1, 2, 21, 18, 7, 3, 1, 1706, 16, LA Tech, 169, 35, 301, 33, 19, 5, 46, 0, 0, 22, 14, 6, 1, 1, 1894, 45
2015-10-24, Missouri, 80, 19, 108, 34, 14, 6, 37, 1, 0, 10, 14, 0, 2, 1, 1296, 3, Vanderbilt, 168, 49, 136, 28, 17, 5, 59, 1, 0, 18, 19, 8, 1, 0, 2304, 10
2015-10-24, New Mexico, 205, 32, 130, 20, 8, 3, 34, 1, 1, 15, 9, 2, 0, 0, 1381, 21, San Jose State, 317, 57, 181, 20, 16, 5, 50, 0, 0, 25, 15, 9, 2, 0, 2219, 31
2015-10-24, North Carolina St, 248, 30, 227, 34, 20, 6, 46, 0, 0, 19, 13, 4, 1, 0, 1620, 35, Wake Forest, 149, 38, 122, 30, 14, 3, 35, 0, 1, 17, 16, 4, 1, 0, 1980, 17
2015-10-24, North Texas, 209, 40, 128, 37, 15, 5, 28, 0, 1, 22, 16, 5, 2, 1, 1503, 13, Marshall, 213, 43, 189, 34, 19, 4, 50, 0, 0, 21, 17, 6, 3, 2, 2097, 30
2015-10-24, UL Monroe, 57, 23, 186, 37, 19, 6, 42, 0, 0, 15, 13, 2, 2, 0, 1483, 13, Idaho, 174, 52, 315, 39, 23, 5, 65, 2, 1, 28, 18, 11, 1, 0, 2117, 27
2015-10-24, Northwestern, 156, 28, 177, 28, 13, 5, 58, 0, 0, 14, 13, 5, 0, 0, 1262, 30, Nebraska, 82, 38, 291, 48, 24, 6, 64, 0, 1, 22, 20, 9, 1, 1, 2338, 28
2015-10-24, Ohio, 54, 34, 368, 54, 33, 7, 58, 0, 4, 22, 18, 10, 4, 1, 1741, 17, Buffalo, 161, 34, 212, 32, 21, 8, 65, 0, 0, 19, 14, 5, 0, 0, 1859, 41
2015-10-24, Old Dominion, 297, 33, 201, 34, 18, 6, 41, 2, 1, 20, 12, 4, 3, 0, 1451, 12, FIU, 58, 33, 390, 39, 31, 3, 30, 1, 0, 20, 16, 8, 3, 1, 2149, 41
2015-10-24, Penn State, 48, 31, 315, 30, 13, 6, 39, 3, 0, 16, 13, 3, 0, 0, 1424, 31, Maryland, 241, 48, 225, 28, 19, 6, 55, 2, 3, 21, 13, 4, 2, 0, 2176, 30
2015-10-24, Pitt, 188, 46, 239, 28, 21, 6, 60, 0, 0, 24, 17, 9, 2, 2, 2197, 23, Syracuse, 136, 23, 217, 31, 22, 4, 39, 0, 2, 16, 11, 5, 1, 1, 1403, 20
2015-10-24, South Alabama, 272, 47, 196, 27, 16, 16, 127, 0, 0, 22, 16, 5, 2, 1, 1881, 18, Texas State, 319, 43, 105, 23, 13, 11, 111, 0, 1, 19, 15, 5, 0, 0, 1719, 36
2015-10-24, SMU, 132, 43, 233, 37, 20, 5, 55, 3, 1, 19, 20, 9, 0, 0, 2088, 14, USF, 255, 44, 97, 21, 9, 4, 40, 1, 0, 15, 15, 5, 2, 1, 1512, 38
2015-10-24, Southern Miss, 212, 38, 268, 40, 25, 7, 63, 2, 0, 22, 18, 10, 2, 0, 2182, 44, Charlotte, 137, 36, 120, 30, 12, 5, 60, 0, 3, 13, 16, 4, 0, 0, 1418, 10
2015-10-24, Tennessee, 132, 39, 171, 22, 13, 6, 30, 1, 0, 21, 13, 7, 0, 0, 1461, 14, Alabama, 117, 42, 247, 27, 21, 7, 64, 0, 1, 23, 13, 5, 0, 0, 2139, 19
2015-10-24, Texas A&M, 58, 27, 134, 45, 18, 13, 100, 2, 1, 12, 20, 6, 2, 0, 1452, 3, Ole Miss, 230, 51, 241, 41, 26, 10, 108, 1, 3, 28, 19, 8, 0, 0, 2148, 23
2015-10-24, Texas Tech, 172, 40, 253, 45, 29, 7, 57, 0, 4, 28, 18, 12, 1, 0, 1700, 27, Oklahoma, 405, 57, 212, 22, 15, 3, 34, 1, 1, 35, 13, 10, 1, 1, 1900, 63
2015-10-24, Toledo, 265, 58, 355, 47, 26, 10, 81, 0, 3, 33, 21, 12, 4, 2, 2218, 51, UMass, 148, 24, 240, 49, 27, 15, 134, 0, 1, 19, 15, 4, 2, 0, 1382, 35
2015-10-24, Tulane, 123, 27, 263, 38, 27, 9, 80, 2, 1, 21, 13, 7, 1, 0, 1707, 14, Navy, 133, 54, 158, 12, 8, 3, 30, 0, 0, 18, 16, 8, 3, 3, 1893, 31
2015-10-24, Army, 378, 56, 18, 10, 2, 2, 24, 1, 0, 18, 14, 4, 2, 0, 1896, 31, Rice, 165, 35, 267, 30, 20, 8, 64, 2, 0, 21, 14, 7, 0, 0, 1704, 38
2015-10-24, Utah State, 144, 36, 95, 20, 9, 5, 55, 3, 1, 16, 11, 3, 2, 1, 1365, 14, San Diego State, 336, 61, 93, 10, 6, 6, 60, 0, 0, 19, 16, 8, 0, 0, 2235, 48
2015-10-24, Utah, 99, 28, 254, 36, 24, 4, 34, 0, 4, 20, 11, 3, 2, 0, 1510, 24, USC, 116, 45, 264, 29, 21, 5, 49, 0, 0, 21, 13, 5, 3, 2, 2090, 42
2015-10-24, UVA, 205, 39, 148, 30, 17, 10, 62, 1, 4, 23, 14, 5, 1, 0, 2037, 13, UNC, 196, 38, 226, 26, 21, 13, 135, 1, 1, 24, 8, 2, 0, 0, 1563, 26
2015-10-24, Wagner, 83, 36, 46, 16, 8, 2, 15, 0, 1, 6, 17, 6, 0, 0, 1837, 6, BYU, 330, 42, 411, 27, 23, 7, 55, 0, 0, 31, 9, 8, 1, 0, 1763, 70
2015-10-24, Washington St, 117, 31, 514, 62, 47, 9, 51, 0, 0, 34, 16, 10, 2, 1, 2273, 45, Arizona, 176, 32, 307, 37, 24, 5, 40, 1, 0, 24, 14, 9, 2, 1, 1327, 42
2015-10-24, W Kentucky, 103, 23, 325, 61, 37, 7, 62, 1, 1, 24, 15, 5, 4, 1, 1751, 20, LSU, 211, 43, 286, 20, 11, 7, 65, 0, 0, 21, 12, 6, 0, 0, 1849, 48
