Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-09, SMU, 151, 39, 248, 35, 21, 7, 51, 3, 0, 21, 16, 9, 1, 0, 1881, 28, Houston, 214, 48, 243, 18, 16, 6, 55, 1, 0, 23, 12, 8, 0, 0, 1719, 49
2015-10-09, Southern Miss, 125, 35, 314, 58, 29, 8, 55, 4, 1, 26, 19, 7, 6, 1, 1942, 10, Marshall, 114, 35, 163, 21, 11, 8, 96, 0, 1, 14, 11, 1, 0, 0, 1658, 31
2015-10-09, Washington, 135, 36, 164, 33, 17, 7, 60, 0, 1, 17, 17, 6, 0, 0, 1949, 17, USC, 190, 39, 156, 29, 16, 8, 62, 1, 2, 20, 13, 1, 2, 2, 1651, 12
2015-10-10, Akron, 278, 53, 222, 22, 14, 8, 54, 0, 0, 28, 16, 11, 0, 0, 2192, 47, E Michigan, 161, 31, 252, 35, 24, 9, 90, 2, 1, 20, 12, 4, 4, 2, 1408, 21
2015-10-10, Appalachian St, 207, 44, 291, 25, 18, 8, 56, 0, 1, 24, 16, 8, 1, 0, 2168, 37, Georgia State, 59, 21, 166, 39, 21, 7, 60, 1, 1, 14, 14, 5, 1, 0, 1432, 3
2015-10-10, Arkansas, 44, 25, 176, 32, 15, 7, 44, 0, 1, 9, 16, 5, 1, 0, 1567, 14, Alabama, 134, 46, 262, 33, 24, 6, 56, 0, 2, 22, 16, 7, 0, 0, 2033, 27
2015-10-10, Ball State, 110, 35, 393, 53, 31, 3, 40, 0, 1, 30, 19, 9, 3, 3, 1712, 41, N Illinois, 273, 59, 363, 32, 29, 5, 86, 1, 0, 35, 14, 11, 0, 0, 1888, 59
2015-10-10, Baylor, 281, 45, 363, 37, 27, 4, 33, 1, 0, 33, 12, 7, 1, 1, 1455, 66, Kansas, 69, 39, 158, 36, 20, 4, 50, 2, 1, 14, 21, 8, 2, 0, 2145, 7
2015-10-10, Boise State, 201, 44, 396, 37, 24, 6, 65, 0, 1, 27, 12, 4, 3, 1, 1888, 41, Colorado State, 105, 37, 151, 30, 14, 8, 64, 1, 2, 14, 17, 5, 2, 2, 1712, 10
2015-10-10, Cent Michigan, 161, 31, 321, 32, 23, 8, 75, 1, 1, 24, 11, 4, 2, 2, 1769, 39, W Michigan, 215, 41, 262, 22, 15, 4, 41, 1, 0, 24, 10, 5, 1, 1, 1831, 41
2015-10-10, UConn, 170, 45, 263, 24, 18, 11, 69, 0, 0, 20, 15, 5, 1, 0, 2284, 40, UCF, 60, 14, 255, 50, 27, 5, 52, 1, 3, 21, 12, 2, 0, 0, 1316, 13
2015-10-10, Duke, 215, 48, 243, 30, 20, 5, 50, 0, 0, 25, 16, 11, 0, 0, 1830, 44, Army, 113, 49, 55, 6, 2, 5, 32, 2, 1, 12, 14, 3, 3, 2, 1770, 3
2015-10-10, ECU, 133, 32, 385, 42, 30, 7, 64, 2, 1, 27, 12, 3, 1, 1, 1665, 38, BYU, 167, 43, 341, 38, 25, 7, 61, 1, 1, 26, 16, 6, 4, 3, 1935, 45
2015-10-10, Florida, 129, 44, 208, 33, 20, 4, 30, 0, 0, 23, 18, 7, 1, 0, 2273, 21, Missouri, 106, 26, 151, 39, 16, 6, 38, 0, 2, 12, 14, 1, 1, 0, 1327, 3
2015-10-10, Georgia Tech, 71, 42, 159, 14, 6, 5, 50, 0, 1, 12, 12, 1, 1, 1, 1764, 24, Clemson, 202, 41, 336, 33, 23, 4, 45, 2, 1, 24, 16, 10, 1, 0, 1836, 43
2015-10-10, Georgia, 165, 29, 279, 33, 15, 7, 51, 1, 0, 15, 14, 4, 1, 1, 1557, 31, Tennessee, 207, 48, 312, 42, 25, 3, 15, 1, 1, 26, 18, 8, 2, 2, 2043, 38
2015-10-10, Illinois, 46, 24, 317, 43, 25, 5, 45, 1, 1, 20, 15, 5, 1, 0, 1449, 20, Iowa, 278, 51, 200, 31, 15, 6, 80, 0, 0, 23, 16, 4, 2, 1, 2151, 29
2015-10-10, Indiana, 79, 33, 155, 33, 15, 8, 65, 0, 1, 14, 16, 3, 1, 0, 1465, 7, Penn State, 154, 32, 266, 40, 22, 3, 30, 1, 0, 22, 14, 5, 0, 0, 2135, 29
2015-10-10, Iowa State, 315, 45, 180, 30, 15, 4, 45, 0, 3, 19, 15, 5, 3, 1, 1917, 31, Texas Tech, 261, 31, 515, 56, 39, 7, 50, 0, 0, 33, 15, 11, 0, 0, 1683, 66
2015-10-10, Kent State, 123, 32, 134, 32, 14, 9, 83, 0, 1, 13, 18, 7, 0, 0, 1630, 7, Toledo, 288, 46, 230, 33, 20, 9, 84, 1, 0, 27, 13, 4, 2, 1, 1970, 38
2015-10-10, LSU, 396, 54, 228, 29, 18, 7, 50, 0, 0, 29, 15, 9, 2, 2, 2393, 45, South Carolina, 74, 20, 209, 30, 15, 5, 32, 0, 1, 12, 12, 5, 3, 1, 1207, 24
2015-10-10, LA Tech, 93, 31, 351, 44, 28, 5, 40, 0, 2, 24, 16, 8, 0, 0, 2141, 34, UTSA, 73, 39, 227, 27, 18, 6, 32, 0, 2, 15, 16, 7, 1, 1, 1459, 31
2015-10-10, Maryland, 253, 42, 133, 27, 10, 8, 59, 0, 2, 20, 14, 5, 2, 1, 1776, 28, OSU, 182, 47, 317, 30, 23, 6, 45, 0, 0, 31, 11, 5, 2, 1, 1824, 49
2015-10-10, UMass, 30, 15, 486, 61, 37, 7, 78, 1, 1, 30, 13, 6, 2, 0, 1363, 38, Bowling Green, 206, 46, 519, 45, 37, 10, 113, 0, 1, 37, 13, 9, 0, 0, 2237, 62
2015-10-10, Miami (OH), 87, 24, 166, 25, 9, 6, 47, 0, 4, 12, 10, 1, 0, 0, 1415, 3, Ohio, 150, 37, 278, 40, 25, 5, 61, 0, 1, 25, 14, 6, 0, 0, 2185, 34
2015-10-10, Mid Tennessee, 123, 30, 296, 43, 28, 4, 41, 1, 1, 22, 14, 4, 4, 2, 1493, 28, W Kentucky, 165, 40, 428, 37, 29, 3, 35, 1, 1, 24, 18, 11, 1, 1, 2107, 58
2015-10-10, Minnesota, 326, 48, 82, 18, 11, 6, 55, 0, 1, 17, 14, 6, 0, 0, 2163, 41, Purdue, 68, 28, 207, 49, 21, 0, 0, 1, 3, 17, 17, 3, 6, 3, 1437, 13
2015-10-10, New Mexico St, 98, 37, 141, 37, 22, 3, 35, 0, 2, 18, 18, 7, 0, 0, 2206, 3, Ole Miss, 265, 34, 400, 35, 25, 3, 23, 2, 1, 31, 8, 5, 1, 0, 1394, 52
