Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-29, Buffalo, 144, 40, 289, 29, 22, 6, 65, 0, 1, 18, 15, 4, 1, 1, 2114, 29, Miami (OH), 124, 31, 224, 36, 13, 6, 53, 1, 0, 19, 16, 5, 2, 1, 1486, 24
2015-10-29, UNC, 174, 35, 270, 23, 14, 3, 15, 0, 0, 17, 13, 5, 0, 0, 1485, 26, Pitt, 153, 37, 262, 42, 27, 6, 55, 1, 0, 25, 17, 8, 2, 2, 2115, 19
2015-10-29, Texas State, 126, 31, 87, 27, 10, 2, 20, 0, 2, 13, 14, 6, 1, 0, 1367, 13, Ga Southern, 503, 67, 31, 6, 3, 2, 30, 3, 0, 22, 16, 7, 3, 3, 2233, 37
2015-10-29, West Virginia, 167, 37, 160, 39, 16, 9, 114, 0, 1, 21, 17, 4, 3, 1, 1419, 10, TCU, 228, 40, 388, 48, 32, 9, 100, 0, 0, 35, 13, 5, 1, 1, 2181, 40
2015-10-29, W Michigan, 279, 36, 316, 24, 18, 3, 27, 0, 0, 26, 8, 3, 1, 1, 1882, 58, E Michigan, 226, 39, 263, 30, 18, 3, 20, 2, 2, 26, 11, 4, 2, 2, 1718, 28
2015-10-30, ECU, 203, 36, 137, 33, 19, 7, 64, 0, 4, 16, 15, 5, 3, 1, 1532, 13, UConn, 220, 44, 184, 21, 12, 5, 34, 1, 1, 17, 14, 7, 0, 0, 2068, 31
2015-10-30, Louisville, 68, 42, 249, 32, 23, 10, 89, 1, 0, 17, 18, 5, 1, 1, 2090, 20, Wake Forest, 40, 32, 226, 30, 9, 3, 29, 1, 4, 11, 16, 3, 2, 1, 1510, 19
2015-10-30, Oregon, 186, 28, 315, 41, 23, 6, 50, 0, 1, 19, 14, 3, 3, 3, 1437, 61, Arizona State, 344, 55, 398, 53, 32, 9, 70, 0, 2, 37, 23, 14, 0, 0, 2163, 55
2015-10-31, Boise State, 232, 37, 473, 53, 36, 8, 51, 1, 0, 34, 14, 7, 1, 1, 1849, 55, UNLV, 100, 25, 387, 51, 30, 5, 39, 0, 2, 28, 15, 5, 1, 0, 1751, 27
2015-10-31, UCF, 212, 41, 101, 23, 12, 6, 70, 0, 1, 16, 13, 4, 1, 0, 1641, 7, Cincinnati, 237, 42, 489, 32, 27, 7, 62, 0, 1, 33, 15, 11, 3, 2, 1959, 52
2015-10-31, Cent Michigan, 39, 24, 226, 37, 23, 5, 44, 0, 1, 16, 12, 4, 0, 0, 1887, 14, Akron, 25, 25, 252, 36, 22, 5, 34, 0, 1, 15, 16, 5, 0, 0, 1713, 6
2015-10-31, Clemson, 240, 50, 383, 30, 23, 6, 39, 1, 0, 27, 15, 8, 0, 0, 2044, 56, North Carolina St, 135, 27, 254, 41, 24, 4, 40, 1, 0, 18, 15, 4, 4, 2, 1556, 41
2015-10-31, Colorado, 242, 56, 312, 58, 37, 7, 68, 0, 2, 34, 22, 7, 4, 3, 2465, 31, UCLA, 138, 26, 262, 33, 19, 10, 101, 2, 0, 16, 14, 6, 0, 0, 1135, 35
