Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-01, Miami (FL),146,32,281,40,25,6,50,0,0,21,15,4,1,0,2078,23, Cincinnati,167,34,279,33,22,7,75,0,1,22,9,2,0,0,1522,34
2015-10-02, Memphis,120,39,305,33,20,7,75,0,0,20,18,8,0,0,1832,24, USF,178,43,199,26,17,6,40,0,1,19,13,2,2,1,1768,17
2015-10-02, Temple,206,45,116,23,11,2,25,1,0,18,17,8,1,1,2066,37, Charlotte,223,44,131,27,13,4,47,0,1,16,17,4,3,1,1534,3
2015-10-03, Alabama,189,47,190,16,11,7,39,2,0,14,12,1,2,0,2043,38, Georgia,193,38,106,31,11,8,82,1,3,12,17,3,0,0,1557,10
2015-10-03, Arizona State,192,46,273,44,27,4,39,0,1,25,23,10,1,1,2267,38, UCLA,62,28,280,40,22,6,49,0,1,17,14,3,1,0,1333,23
2015-10-03, Arkansas,275,50,219,24,11,3,20,0,0,23,15,6,2,1,2118,24, Tennessee,133,33,232,37,20,4,39,1,0,19,16,7,2,1,1482,20
2015-10-03, Boston College,164,41,141,21,8,6,60,1,0,13,16,5,2,0,1910,7, Duke,33,35,195,36,18,5,31,0,0,16,17,4,1,0,1690,9
2015-10-03, Bowling Green,212,42,324,29,23,7,70,0,0,25,12,7,3,1,1575,28, Buffalo,152,37,348,59,35,8,85,0,1,34,19,10,3,2,2025,22
2015-10-03, UCF,-35,22,392,52,30,7,65,2,3,21,15,6,2,1,1572,31, Tulane,170,44,225,29,17,7,67,1,0,17,14,4,2,1,2028,45
2015-10-03, Colorado State,109,31,252,46,21,12,110,2,1,24,17,6,5,3,1557,18, Utah State,298,45,137,21,12,12,125,0,0,21,12,2,1,1,2043,33
2015-10-03, UConn,62,27,168,28,14,5,43,0,2,14,14,3,2,1,1488,13, BYU,174,41,365,54,35,7,70,1,2,31,16,9,1,0,2112,30
2015-10-03, ECU,306,54,249,26,19,5,45,0,2,26,18,10,1,0,1967,49, SMU,40,30,289,38,20,4,35,0,0,21,14,2,2,1,1633,23
2015-10-03, E Kentucky,180,51,183,32,19,8,77,1,0,20,18,8,3,1,1875,27, Kentucky,55,36,329,42,29,6,46,1,2,24,16,7,2,2,1725,34
2015-10-03, E Michigan,94,33,161,24,17,7,70,0,3,16,11,5,0,0,1891,22, LSU,399,49,80,15,4,7,51,0,1,28,6,1,0,0,1709,44
2015-10-03, FIU,73,29,115,34,22,10,111,0,0,13,16,5,2,1,1716,14, UMass,132,39,363,43,32,10,72,2,0,29,14,6,3,1,1884,24
2015-10-03, FSU,127,21,202,31,20,10,100,0,0,14,12,6,0,0,1444,24, Wake Forest,142,36,215,43,27,5,32,1,1,27,15,7,1,1,2156,16
2015-10-03, Ga Southern,455,67,48,10,3,12,109,0,1,26,13,4,5,4,2270,51, UL Monroe,47,26,232,36,21,10,72,0,3,16,14,5,2,1,1330,31
2015-10-03, Houston,365,56,273,38,22,3,44,1,0,28,23,12,3,0,1997,38, Tulsa,130,43,326,45,26,10,71,1,1,23,19,7,2,1,1603,24
2015-10-03, Idaho,172,29,166,42,24,11,93,0,3,19,15,6,1,0,1694,35, Arkansas State,333,53,188,25,16,15,157,1,1,31,11,7,0,0,1906,49
2015-10-03, Iowa,144,40,77,21,9,6,54,1,1,14,15,5,2,1,1754,10, Wisconsin,86,34,234,38,21,8,90,2,2,21,13,4,1,0,1846,6
2015-10-03, Kansas State,144,42,207,25,13,9,54,0,1,22,11,4,1,1,2073,34, Oklahoma State,49,27,441,56,35,8,95,1,1,26,15,9,1,1,1527,36
2015-10-03, Kansas,38,33,250,37,23,5,37,1,0,15,18,7,2,0,1683,13, Iowa State,243,37,269,37,27,2,10,0,2,24,14,5,0,0,1917,38
2015-10-03, Liberty,263,50,239,32,25,4,45,1,0,24,17,9,4,4,2613,41, Georgia State,11,14,394,29,18,5,46,0,1,14,9,4,0,0,987,33
2015-10-03, Louisville,203,45,103,27,10,6,50,0,0,20,18,8,0,0,1984,20, North Carolina St,45,30,183,28,16,4,50,2,0,11,16,5,2,0,1616,13
2015-10-03, Miami (OH),91,36,325,51,21,10,67,0,4,24,20,6,3,2,1966,14, Kent State,214,41,136,21,12,7,57,1,0,13,14,2,2,1,1634,20
2015-10-03, Michigan,198,40,180,33,16,7,65,2,1,14,17,5,2,1,2059,28, Maryland,29,26,76,36,10,5,66,0,3,7,18,1,0,0,1541,0
2015-10-03, Minnesota,74,33,99,32,15,2,10,1,1,11,16,4,4,0,1558,0, Northwestern,184,51,128,19,14,3,20,0,0,16,17,7,1,1,2042,27
2015-10-03, Miss St,196,34,210,34,20,3,30,2,0,20,14,5,2,0,1572,17, Texas A&M,194,45,322,41,25,5,53,0,0,23,20,10,2,1,2028,30
2015-10-03, Ole Miss,69,33,259,40,26,5,30,3,1,23,14,5,2,1,1690,10, Florida,84,34,271,29,24,6,51,0,0,18,16,8,0,0,1910,38
2015-10-03, UNC,231,31,182,26,15,6,42,0,0,21,8,2,1,1,1275,38, Georgia Tech,249,59,168,21,12,4,39,1,1,27,13,5,5,3,2325,31
2015-10-03, Nebraska,187,34,105,31,10,6,42,1,1,12,17,4,1,0,1732,13, Illinois,131,32,251,45,23,3,35,0,0,17,20,7,2,0,1868,14
2015-10-03, UNLV,167,44,134,19,13,8,76,0,1,18,13,4,0,0,1951,23, Nevada,141,35,202,44,20,6,53,0,1,24,16,6,2,0,1649,17
2015-10-03, North Texas,185,49,201,32,14,5,40,0,1,26,18,5,4,2,1791,14, Southern Miss,248,33,325,36,27,8,87,0,0,24,11,6,0,0,1809,49
2015-10-03, N Illinois,211,59,105,30,12,8,69,3,1,17,20,6,7,4,1859,19, Cent Michigan,83,34,182,32,16,1,5,0,1,14,17,6,1,0,1741,29
2015-10-03, OSU,272,34,245,27,18,8,109,2,1,13,14,2,1,1,1546,34, Indiana,176,55,226,36,17,7,50,0,0,21,22,7,3,1,2054,27
2015-10-03, Ohio,48,32,179,29,18,8,71,0,1,17,15,7,0,0,1676,14, Akron,88,35,231,38,18,10,79,0,1,21,17,5,3,2,1924,12
2015-10-03, Old Dominion,184,43,101,37,13,3,10,2,2,16,18,6,4,1,1677,7, Marshall,112,40,212,35,21,7,77,2,0,17,19,8,1,1,1923,27
2015-10-03, Pitt,166,46,110,15,9,8,60,1,0,15,16,6,1,1,2040,17, VT,9,33,91,20,9,5,40,0,3,12,13,4,1,0,1560,13
2015-10-03, Purdue,165,32,136,31,15,2,20,2,1,16,13,5,3,1,1356,21, Michigan State,267,47,139,19,13,8,51,0,0,20,14,5,1,0,2244,24
2015-10-03, San Jose State,182,38,224,33,21,2,15,2,2,22,12,6,3,1,2037,21, Auburn,234,48,108,10,6,1,15,0,0,15,11,6,1,1,1563,35
2015-10-03, South Alabama,160,51,205,21,11,4,55,1,1,21,14,4,2,1,2079,24, Troy,119,33,146,35,16,7,66,0,3,18,14,6,2,0,1521,18
2015-10-03, South Carolina,112,34,186,30,17,4,35,0,3,17,14,5,2,2,1684,10, Missouri,163,42,136,28,21,3,29,0,0,18,16,9,1,1,1916,24
2015-10-03, LA-Lafayette,149,27,182,37,19,8,91,1,2,18,13,5,1,0,1621,14, LA Tech,138,35,290,33,20,8,76,1,0,27,13,6,0,0,1979,43
2015-10-03, Texas Tech,106,24,530,65,40,17,142,2,2,27,18,8,5,2,1753,35, Baylor,368,52,312,24,16,8,72,0,1,26,16,11,1,0,1847,63
2015-10-03, Texas,191,51,122,28,13,4,40,1,0,20,19,6,3,1,1766,7, TCU,228,42,376,38,22,8,84,0,0,31,13,5,0,0,1834,50
2015-10-03, Toledo,280,48,164,22,16,14,135,0,2,21,13,6,1,0,1949,24, Ball State,26,30,236,37,23,3,35,1,0,19,17,6,2,1,1651,10
2015-10-03, Air Force,204,56,73,12,5,3,25,3,1,15,16,5,3,2,1650,11, Navy,270,51,117,10,4,7,35,0,0,14,14,4,3,3,1950,33
2015-10-03, Army,261,55,32,1,1,4,45,3,0,17,9,5,1,0,1879,14, Penn State,108,34,156,19,10,3,20,0,0,12,15,5,1,1,1721,20
2015-10-03, Vanderbilt,237,41,177,31,18,6,40,1,2,18,17,7,1,1,1875,17, Mid Tennessee,34,23,286,51,32,5,30,2,0,18,19,8,2,0,1725,13
2015-10-03, Washington St,14,25,389,49,35,2,13,3,1,20,15,9,2,1,1803,28, Cal,79,30,390,45,33,4,15,1,1,25,14,8,3,0,1797,34
2015-10-03, West Virginia,196,54,173,32,17,11,111,2,3,26,20,8,2,2,1991,24, Oklahoma,107,33,320,25,14,12,134,1,1,16,12,2,1,0,1609,44
2015-10-03, W Kentucky,80,32,424,39,29,3,20,0,0,24,11,5,0,0,1923,49, Rice,85,34,237,30,16,8,70,3,2,15,15,4,1,1,1677,10
2015-10-03, Wyoming,218,51,155,19,14,7,65,2,1,18,14,5,3,1,2274,13, Appalachian St,249,34,65,12,3,4,30,0,1,14,8,0,2,1,1326,31
2015-10-04, Arizona,118,34,196,33,17,7,55,0,0,16,17,8,2,1,1361,17, Stanford,314,46,256,23,21,3,20,0,0,30,11,7,1,1,2239,55
2015-10-04, Fresno State,12,22,77,25,12,6,47,0,0,6,12,0,2,1,1359,7, San Diego State,305,60,104,12,5,5,50,1,0,19,18,8,2,2,2241,21
2015-10-04, Hawaii,82,30,88,38,11,7,61,1,3,12,17,4,4,0,1347,0, Boise State,279,59,275,29,20,8,80,0,0,29,18,6,2,2,2253,55
2015-10-04, New Mexico St,308,39,108,28,12,7,39,1,2,14,16,4,4,1,1550,29, New Mexico,401,61,45,17,5,4,27,1,1,21,17,6,2,2,2050,38
2015-10-04, Notre Dame,116,33,321,35,19,6,45,3,1,20,12,4,0,0,1798,22, Clemson,199,42,97,22,11,5,44,0,1,15,15,5,0,0,1802,24
2015-10-04, Oregon,361,60,176,21,13,4,45,0,1,27,16,7,1,0,1795,41, Colorado,77,36,231,42,25,6,41,2,1,18,17,7,2,1,1805,24
2015-10-04, UTSA,137,48,198,32,19,6,58,1,0,22,18,5,1,0,2056,25, UTEP,59,22,216,50,23,2,26,1,4,14,17,4,3,1,1544,6
