Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-07, Kentucky, 79, 24, 101, 23, 9, 7, 58, 1, 2, 8, 12, 3, 1, 0, 1344, 3, Georgia, 300, 52, 90, 19, 10, 6, 60, 2, 0, 21, 13, 5, 2, 1, 2256, 27
2015-11-07, Marshall, 139, 45, 376, 59, 35, 11, 86, 0, 1, 30, 21, 9, 1, 0, 1898, 24, Mid Tennessee, 201, 51, 353, 35, 21, 7, 66, 2, 1, 27, 14, 2, 2, 1, 1702, 27
2015-11-07, New Mexico St, 230, 48, 297, 45, 24, 5, 37, 0, 0, 26, 23, 13, 3, 2, 1949, 31, Texas State, 113, 37, 287, 36, 21, 4, 30, 1, 2, 20, 15, 7, 2, 2, 1651, 21
2015-11-07, North Carolina St, 139, 33, 212, 27, 14, 5, 50, 1, 1, 12, 15, 4, 1, 0, 1706, 24, Boston College, 28, 34, 257, 37, 23, 3, 35, 1, 3, 16, 17, 5, 3, 1, 1894, 8
2015-11-07, North Texas, 82, 36, 234, 45, 25, 3, 35, 3, 1, 20, 17, 6, 5, 3, 1973, 13, LA Tech, 274, 36, 299, 27, 18, 3, 32, 2, 1, 25, 7, 4, 1, 1, 1627, 56
2015-11-07, UL Monroe, 114, 35, 262, 42, 24, 11, 84, 3, 3, 20, 16, 5, 2, 2, 1888, 14, Troy, 148, 35, 345, 36, 24, 5, 30, 0, 0, 20, 17, 9, 2, 0, 1712, 51
2015-11-07, Notre Dame, 175, 42, 262, 26, 19, 2, 20, 1, 0, 22, 14, 8, 1, 0, 2019, 42, Pitt, 175, 31, 223, 32, 12, 3, 25, 0, 1, 18, 14, 6, 1, 1, 1581, 30
2015-11-07, Penn State, 125, 30, 237, 41, 22, 9, 70, 1, 1, 17, 17, 4, 0, 0, 1841, 21, Northwestern, 227, 47, 169, 32, 16, 7, 80, 0, 1, 22, 17, 6, 0, 0, 1759, 23
2015-11-07, Rice, 90, 31, 230, 28, 14, 5, 42, 0, 0, 16, 13, 6, 1, 1, 1596, 21, UTEP, 161, 34, 231, 36, 18, 3, 16, 1, 0, 19, 15, 7, 1, 1, 2004, 24
2015-11-07, Rutgers, 128, 32, 97, 27, 11, 7, 80, 0, 1, 17, 13, 3, 1, 0, 1616, 16, Michigan, 150, 42, 337, 26, 18, 6, 60, 0, 0, 25, 13, 7, 0, 0, 1984, 49
2015-11-07, South Carolina, 152, 40, 233, 39, 20, 6, 40, 1, 0, 23, 17, 6, 2, 1, 1941, 24, Tennessee, 153, 41, 255, 34, 20, 6, 47, 2, 1, 19, 18, 9, 1, 1, 1659, 27
2015-11-07, LA-Lafayette, 145, 41, 162, 27, 18, 12, 126, 0, 1, 19, 14, 3, 1, 1, 1885, 23, Georgia State, 78, 29, 312, 39, 23, 4, 50, 0, 1, 21, 15, 7, 1, 0, 1715, 21
2015-11-07, Stanford, 275, 48, 197, 27, 18, 7, 55, 0, 1, 25, 16, 10, 2, 2, 2281, 42, Colorado, 83, 30, 148, 23, 13, 3, 21, 0, 2, 15, 11, 2, 1, 0, 1319, 10
2015-11-07, Syracuse, 102, 36, 184, 37, 19, 4, 20, 1, 2, 13, 18, 4, 3, 2, 2034, 17, Louisville, 217, 31, 362, 36, 24, 9, 84, 3, 1, 23, 9, 1, 1, 1, 1566, 41
2015-11-07, Temple, 268, 37, 268, 25, 18, 7, 81, 0, 0, 20, 13, 5, 1, 1, 1922, 60, SMU, 185, 38, 212, 30, 18, 5, 53, 1, 1, 20, 12, 3, 2, 1, 1678, 40
2015-11-07, TCU, 218, 52, 445, 58, 35, 7, 70, 0, 4, 36, 19, 9, 4, 2, 2226, 29, Oklahoma State, 81, 26, 375, 27, 18, 7, 67, 0, 0, 16, 11, 2, 0, 0, 1374, 49
2015-11-07, Texas Tech, 179, 42, 199, 36, 22, 8, 75, 0, 1, 23, 18, 7, 4, 3, 1786, 26, West Virginia, 300, 57, 149, 24, 12, 4, 40, 0, 2, 28, 15, 9, 0, 0, 1814, 31
2015-11-07, Army, 124, 44, 45, 8, 2, 4, 27, 0, 0, 9, 14, 3, 1, 0, 1792, 3, Air Force, 196, 47, 156, 10, 7, 2, 20, 0, 0, 14, 15, 7, 0, 0, 1808, 20
2015-11-07, Utah State, 78, 37, 216, 25, 14, 2, 8, 2, 0, 13, 15, 4, 2, 0, 1726, 13, New Mexico, 132, 48, 104, 12, 4, 7, 67, 0, 1, 10, 14, 2, 1, 0, 1874, 14
2015-11-07, Vanderbilt, 145, 48, 30, 14, 3, 7, 45, 0, 0, 11, 18, 5, 2, 1, 1914, 7, Florida, 93, 34, 165, 26, 13, 8, 61, 3, 1, 12, 13, 3, 3, 0, 1686, 9
2015-11-07, UVA, 127, 32, 280, 42, 29, 8, 80, 0, 1, 24, 13, 4, 0, 0, 1989, 21, Miami (FL), 143, 33, 286, 26, 20, 7, 52, 0, 1, 18, 13, 8, 0, 0, 1611, 27
2015-11-07, Wisconsin, 117, 40, 188, 24, 15, 7, 54, 0, 1, 18, 13, 3, 2, 2, 2006, 31, Maryland, 112, 32, 204, 34, 13, 11, 79, 0, 2, 16, 16, 5, 1, 0, 1594, 24
