Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-18, Clemson, 202, 40, 199, 30, 21, 6, 53, 0, 2, 20, 14, 5, 0, 0, 1835, 20, Louisville, 19, 28, 253, 35, 20, 2, 15, 0, 2, 16, 14, 2, 2, 1, 1765, 17
2015-09-19, Auburn, 160, 37, 100, 19, 11, 4, 26, 1, 1, 16, 10, 3, 1, 1, 1583, 21, LSU, 411, 48, 74, 17, 12, 5, 43, 0, 0, 20, 11, 6, 0, 0, 2017, 45
2015-09-19, Ball State, 278, 52, 194, 33, 24, 3, 30, 1, 0, 26, 19, 8, 4, 3, 2241, 28, E Michigan, 123, 22, 196, 39, 19, 4, 45, 0, 2, 12, 16, 6, 1, 0, 1359, 17
2015-09-19, Buffalo, 185, 45, 105, 20, 10, 8, 75, 0, 1, 13, 17, 3, 0, 0, 2060, 33, FAU, 102, 34, 385, 56, 26, 5, 35, 3, 2, 27, 18, 7, 5, 1, 1540, 15
2015-09-19, Cent Michigan, 109, 40, 430, 51, 37, 5, 44, 1, 1, 30, 17, 5, 3, 3, 2346, 27, Syracuse, 165, 30, 161, 17, 11, 6, 60, 0, 1, 11, 8, 1, 0, 0, 1254, 30
2015-09-19, Cincinnati, 282, 54, 263, 40, 22, 7, 55, 2, 2, 33, 15, 5, 1, 1, 2192, 37, Miami (OH), 220, 41, 228, 34, 14, 6, 50, 0, 1, 17, 18, 5, 3, 2, 1408, 33
2015-09-19, UConn, 77, 33, 156, 28, 17, 8, 85, 1, 1, 11, 13, 2, 3, 1, 1818, 6, Missouri, 85, 34, 185, 31, 20, 3, 30, 1, 1, 16, 15, 5, 3, 1, 1782, 9
2015-09-19, ECU, 80, 21, 325, 49, 36, 6, 47, 1, 1, 25, 13, 8, 3, 1, 1402, 21, Navy, 415, 75, 41, 7, 4, 6, 55, 0, 0, 28, 17, 13, 1, 0, 2198, 45
2015-09-19, FSU, 98, 33, 119, 24, 15, 4, 26, 0, 0, 15, 13, 4, 1, 0, 1884, 14, Boston College, 139, 43, 56, 15, 5, 6, 59, 1, 1, 12, 15, 5, 1, 0, 1716, 0
2015-09-19, Georgia State, 113, 36, 318, 40, 25, 4, 23, 2, 2, 22, 14, 5, 1, 0, 1866, 28, Oregon, 311, 53, 228, 31, 23, 7, 62, 1, 0, 29, 15, 5, 2, 2, 1734, 61
2015-09-19, Georgia Tech, 216, 47, 121, 24, 8, 4, 30, 1, 0, 21, 15, 3, 3, 2, 1972, 22, Notre Dame, 215, 32, 242, 30, 21, 8, 55, 1, 1, 17, 11, 4, 0, 0, 1628, 30
2015-09-19, Idaho State, 36, 22, 262, 59, 30, 7, 42, 0, 1, 18, 20, 7, 3, 1, 1607, 0, Boise State, 344, 58, 254, 28, 22, 4, 20, 0, 0, 32, 15, 9, 2, 1, 1993, 52
2015-09-19, Illinois, 227, 45, 172, 38, 19, 8, 75, 0, 1, 22, 20, 9, 3, 2, 2147, 14, UNC, 254, 37, 217, 26, 19, 6, 51, 0, 1, 23, 10, 4, 0, 0, 1453, 48
2015-09-19, Kent State, 79, 31, 63, 28, 10, 7, 89, 0, 0, 8, 17, 3, 3, 1, 1477, 7, Minnesota, 104, 44, 184, 27, 17, 8, 85, 1, 2, 13, 21, 10, 1, 1, 2123, 10
2015-09-19, LA Tech, 137, 38, 314, 51, 30, 6, 41, 2, 0, 23, 18, 4, 4, 3, 1706, 33, Kansas State, 160, 45, 195, 26, 15, 4, 35, 1, 0, 17, 16, 6, 0, 0, 1894, 39
2015-09-19, Memphis, 155, 50, 386, 40, 29, 7, 78, 0, 0, 28, 20, 9, 3, 3, 2181, 44, Bowling Green, 136, 29, 443, 45, 28, 10, 92, 0, 0, 24, 15, 7, 2, 1, 1386, 41
2015-09-19, Nebraska, 153, 32, 309, 45, 21, 12, 98, 0, 3, 24, 15, 6, 1, 1, 1865, 33, Miami (FL), 132, 33, 379, 42, 25, 13, 114, 0, 1, 24, 14, 3, 0, 0, 1735, 36
2015-09-19, UNLV, 92, 36, 143, 26, 14, 2, 10, 0, 2, 15, 15, 5, 1, 1, 1798, 7, Michigan, 254, 39, 123, 25, 14, 3, 34, 0, 1, 17, 13, 6, 2, 0, 1802, 28
2015-09-19, Nevada, 153, 45, 206, 29, 16, 3, 29, 0, 1, 19, 16, 4, 1, 1, 2051, 27, Texas A&M, 233, 40, 302, 36, 20, 5, 35, 1, 1, 30, 12, 4, 0, 0, 1549, 44
