Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/01/2014, Indiana, 167, 45, 24, 8, 5, 3, 25, 2, 0, 10, 13, 3, 1, 0, 1585, 10, Michigan, 184, 35, 220, 29, 22, 3, 25, 0, 1, 20, 13, 6, 0, 0, 2015, 34
11/01/2014, Florida, 418, 60, 27, 6, 3, 4, 31, 1, 0, 19, 14, 7, 1, 1, 1961, 38, Georgia, 141, 32, 319, 41, 26, 4, 30, 1, 0, 21, 16, 8, 1, 0, 1639, 20
11/01/2014, Georgia State, 8, 26, 54, 19, 9, 2, 10, 2, 1, 6, 13, 3, 0, 0, 1280, 0, Appalachian State, 469, 66, 98, 14, 9, 6, 48, 0, 0, 26, 15, 9, 3, 2, 2320, 44
11/01/2014, Texas State, 287, 43, 143, 30, 17, 7, 55, 0, 0, 21, 17, 6, 2, 2, 1727, 37, New Mexico State, 235, 48, 404, 52, 36, 11, 76, 0, 2, 32, 22, 10, 3, 2, 1873, 29
11/01/2014, Kentucky, 102, 36, 158, 36, 19, 9, 67, 0, 1, 14, 16, 2, 6, 1, 1529, 10, Missouri, 156, 45, 164, 33, 18, 5, 50, 0, 0, 21, 20, 10, 0, 0, 2048, 20
11/01/2014, Houston, 217, 47, 89, 19, 15, 1, 5, 0, 0, 21, 15, 8, 2, 2, 1973, 27, South Florida, 76, 29, 146, 26, 13, 5, 45, 0, 1, 13, 13, 5, 2, 0, 1592, 3
11/01/2014, Kansas, 16, 27, 288, 30, 21, 6, 60, 3, 0, 12, 15, 6, 2, 0, 1800, 14, Baylor, 326, 52, 343, 36, 21, 6, 54, 0, 0, 30, 18, 11, 1, 1, 1807, 60
11/01/2014, USC, 127, 32, 400, 32, 21, 7, 70, 1, 0, 21, 11, 2, 2, 1, 1391, 44, Washington State, 34, 26, 386, 66, 44, 5, 48, 1, 2, 23, 20, 7, 4, 2, 2145, 17
11/01/2014, Arkansas State, 198, 48, 244, 29, 21, 11, 99, 1, 0, 20, 18, 7, 2, 0, 1822, 44, Idaho, 243, 46, 206, 31, 17, 9, 93, 4, 4, 25, 12, 4, 2, 0, 2233, 28
11/01/2014, South Alabama, 66, 35, 270, 35, 20, 8, 76, 1, 0, 18, 15, 4, 1, 0, 1720, 9, Louisiana-Lafayette, 196, 39, 221, 28, 16, 5, 44, 1, 0, 22, 13, 5, 0, 0, 1880, 19
11/01/2014, New Mexico, 301, 61, 5, 7, 2, 5, 30, 1, 0, 18, 13, 4, 3, 2, 1965, 31, UNLV, 214, 37, 276, 44, 28, 10, 69, 1, 2, 29, 15, 9, 0, 0, 1709, 28
11/01/2014, Auburn, 248, 46, 254, 22, 15, 13, 145, 0, 1, 22, 14, 6, 0, 0, 1931, 35, Mississippi, 146, 30, 339, 40, 28, 6, 48, 2, 0, 24, 13, 5, 2, 0, 1669, 31
11/01/2014, Colorado State, 113, 37, 290, 28, 22, 2, 17, 2, 0, 20, 13, 8, 1, 0, 2602, 38, San Jose State, 185, 32, 308, 51, 26, 1, 5, 1, 2, 24, 18, 6, 4, 3, 1753, 31
11/01/2014, UAB, 239, 54, 184, 26, 16, 11, 90, 0, 0, 18, 19, 10, 1, 0, 2129, 31, Florida Atlantic, 145, 29, 177, 31, 18, 3, 30, 1, 1, 16, 12, 4, 0, 0, 1677, 28
11/01/2014, Old Dominion, 45, 12, 291, 36, 21, 4, 48, 0, 1, 16, 7, 2, 2, 0, 848, 28, Vanderbilt, 243, 56, 281, 29, 20, 4, 38, 2, 0, 33, 13, 6, 3, 3, 2697, 42
11/01/2014, Arkansas, 163, 38, 238, 44, 22, 6, 40, 0, 1, 21, 20, 9, 3, 2, 2315, 10, Mississippi State, 128, 35, 331, 27, 18, 8, 45, 1, 2, 19, 14, 8, 1, 0, 1276, 17
11/01/2014, Tennessee, 344, 55, 301, 40, 23, 4, 31, 0, 1, 35, 16, 7, 3, 2, 1787, 45, South Carolina, 248, 39, 377, 34, 21, 7, 51, 0, 1, 26, 13, 6, 2, 1, 1813, 42
11/01/2014, Stanford, 132, 39, 296, 33, 23, 7, 53, 1, 1, 24, 13, 6, 2, 0, 2138, 16, Oregon, 267, 46, 258, 31, 19, 7, 60, 0, 1, 30, 13, 8, 1, 1, 1462, 45
11/01/2014, Texas, 241, 51, 228, 25, 13, 5, 50, 2, 0, 21, 16, 5, 2, 1, 1845, 34, Texas Tech, 156, 32, 225, 47, 28, 6, 70, 1, 1, 18, 20, 8, 2, 0, 1755, 13
11/01/2014, Oklahoma State, 112, 40, 148, 23, 12, 5, 54, 1, 2, 15, 13, 3, 1, 0, 1787, 14, Kansas State, 134, 33, 287, 33, 20, 2, 15, 0, 1, 21, 12, 5, 1, 0, 1801, 48
11/01/2014, Illinois, 106, 42, 137, 27, 13, 5, 50, 2, 2, 15, 16, 6, 2, 0, 1757, 14, Ohio State, 296, 44, 249, 34, 20, 6, 56, 1, 0, 28, 12, 7, 2, 0, 1843, 55
11/01/2014, Southern Mississippi, 93, 27, 309, 47, 20, 9, 95, 3, 2, 17, 19, 5, 2, 0, 1597, 14, UTEP, 107, 42, 127, 23, 10, 4, 20, 1, 0, 15, 16, 5, 1, 1, 1981, 35
11/01/2014, Notre Dame, 218, 39, 315, 25, 18, 1, 5, 0, 1, 25, 10, 7, 0, 0, 1613, 49, Navy, 336, 60, 118, 17, 6, 2, 25, 0, 1, 23, 16, 7, 5, 3, 1987, 39
11/01/2014, California, 269, 47, 277, 47, 24, 9, 71, 0, 0, 34, 19, 11, 0, 0, 1957, 45, Oregon State, 148, 23, 320, 45, 30, 8, 90, 0, 1, 25, 11, 3, 2, 1, 1578, 31
11/01/2014, Arizona, 80, 31, 175, 48, 18, 4, 40, 0, 1, 19, 20, 6, 1, 1, 1311, 7, UCLA, 271, 59, 189, 26, 19, 11, 118, 1, 0, 21, 21, 10, 0, 0, 2289, 17
11/01/2014, San Diego State, 135, 29, 189, 36, 21, 4, 55, 2, 1, 17, 13, 4, 1, 0, 1659, 14, Nevada, 229, 47, 109, 24, 10, 5, 44, 0, 1, 17, 17, 5, 2, 2, 1941, 30
11/01/2014, Wyoming, 374, 43, 320, 28, 19, 8, 64, 1, 0, 24, 15, 10, 0, 0, 2201, 45, Fresno State, 167, 31, 149, 29, 14, 3, 20, 0, 2, 16, 14, 5, 1, 1, 1358, 17
11/01/2014, Utah State, 235, 50, 230, 16, 15, 12, 96, 0, 0, 21, 13, 5, 2, 1, 2115, 35, Hawai'i, 98, 31, 356, 48, 26, 13, 100, 1, 2, 23, 17, 7, 4, 1, 1470, 14
11/01/2014, Utah, 184, 52, 57, 22, 12, 6, 45, 0, 0, 13, 20, 7, 1, 0, 1874, 16, Arizona State, 239, 43, 205, 33, 18, 6, 55, 0, 2, 20, 14, 2, 1, 0, 1726, 19
